THƯ MỤC,TÊN PHIM,Số tập,Thể loại,Ghi chú,,Cách Đăng ký xem phim,
,It - Chú hề ma quái 2017 2019,2,"Kinh dị, Kịch tính",,,,
,John Wich 2014 2017 2019,3,"Hành động, Kịch tính",,4K Bluray,,
,Joker 2019,1,"Tâm lý, Kịch tính",,,,
PHIM 2,Jumanji : Trò chơi kỳ ảo 2017 2019,2,"Phiêu lưu, Hành động",,,,
,Kẻ Cắp Mặt Trăng: Minions 2015,1,,,,,
,Kẻ đâm lén - Knives out 2020,1,,,4K Bluray,,
,Kẻ hủy diệt - Terminator 1984 1991 2009 2015 2019,5,"Viễn tưởng, Hành động",,,,
,Không mắc bẫy - Focus 2015,1,,,,,
,Kick Ass - Siêu anh hùng cùi bắp 2010 2013,2,"Hài hước, Hành động",,,,
,Kiếm vũ giang hồ - Reign Of Assassins 2010,1,"Võ thuật, Kịch tính",,,,
,KingKong và người đẹp 2005,1,"Hành động, Kịch tính",,,,
PHIM 2,Ký Sinh Trùng - Parasite 2019,1,"Tâm lý, Kịch tính",,,,
,Kẻ Cướp Lăng Mộ - Lara Croft: Tomb Raider,1,"Phiêu lưu, Hành động",,,,
,Lion King - Vua Sư Tử 1994 1998 2004 (HH2D),3,"Hoạt hình, Hành động",,,,
,Lion King - Vua sư tử 2019,1,"Hoạt hình, Hành động",,,,
,Long ẩn cơ mật 2020,1,"Võ thuật, Kịch tính",,,,
,Lòng Chung Thủy - Vernost aka Fidelity 2019 18+,1,,,,,
,Lucy - Lucy siêu phàm 2014,1,"Hành động, Viễn tưởng",,,,
,Max Điên - Mad max 1979 1981 2015,3,"Hành động, Viễn tưởng",,,,
,Mang thai quái vật - Snatchers 2019,1,"Kinh dị, Kịch tính",,,,
,Mortal Kombat: Cuộc Chiến Sinh Tử 2021,1,,,,,
PHIM 2,Một mình trên hoang đảo - Cast Away 2000,1,"Phiêu lưu, Sinh tồn",,,,
,Một thời để nhớ - A Moment to Remember 2004,1,,,,,
,Murder on the Orient Express 2017 - Án mạng trên chuyến tàu tốc hành phương Đông,1,"Trinh thám, Kịch tính",,,,
,Ngày trái đất ngừng quay - The Day the Earth Stood Still 2008,1,"Thảm họa, Kịch tính",,,,
,Nghĩa địa ma quái - Pet sematary 2019,1,"Kinh dị, Kịch tính",,,,
,Người hùng không súng - Hacksaw Ridge 2016,1,"Chiến tranh, Tâm lý",,4K Bluray,,
,Người nhện : Vũ trụ mới,1,"Hành động, Viễn tưởng",,,,
,Nhân bản vô tính - Replicas 2018,1,"Hành động, Viễn tưởng",,,,
,Nhiếp ẩn nương - Assassination 2015,1,"Võ thuật, Kịch tính",,,,
,"Những bà mẹ ""ngoan"" - Bad Moms 2016",1,"Hài hước, Tâm lý",,,,
PHIM 2,Những gã trai hư trọn đời - Bad Boys for Life 2020,1,"Hài hước, Hành động",,,,
,Ninja báo thù - Ninja Assassin 2009,1,"Võ thuật, Hành động",,,,
,Lạc vào xứ Oz vĩ đại và quyền năng - Oz The Great And Powerful 2013,1,"Thần thoại, Hành động",,,,
,Ô long truyền kỳ,1,"Hài hước, Hành động",,4K WebDL,,
,Ông bà Smith - Mr Mrs Smith 2005,1,"Hành động, Hài hước",,,,
,Phi Vụ Thế Kỷ - Now You See Me,2,"Hành động, Kịch tính",,,,
,Pokemon: Detective Pikachu 2019 - Pokemon: Thám tử Pikachu,1,"Hành động, Trinh thám",,,,
,Predestination - Định mệnh 2014,1,"Hành động, Xoắn não",,,,
PHIM 2,Quái xế Taxi - Taxi 1998 2000 2003 2007,4,,,,,
,Quan Vân Trường 2011,1,,,,,
,Salt - Điệp viên Salt 2010,1,,,,,
,Sát phá lang - SPL / Paradox 2005 2015 2017,3,,,,,
,Sát quyền 2014 - Kung Fu Jungle,1,,,,,
,Sát thủ thợ máy - The Mechanic 2011 2016,2,,,,,
PHIM 2,Siêu anh hùng Shazam - Shazam 2019,1,,,,,
,Siêu cớm tranh tài - The Other Guys 2010,1,,lệch sub,,,
,Siêu nhân chuồn chuồn - Superhero Movie 2008,1,,,,,
,Siêu trộm nhà chọc trời - Tower Heist 2011,1,,,,,
,Ngủ với người khác - Sleeping with Other People 2015,1,,,,,
PHIM 2,Sói già phố Wall - The Wolf of Wall Street 2013,1,,,,,
,Sức mạnh vô hình - Chronicle 2012,1,,,,,
,Thám tử gà mờ - The Accidental Detective 2015 2018,2,,,,,
,Thanh Xà Bạch Xà - The Sorcerer and the White Snake 2011,1,,,,,
,Thần bài Macau - From Vegas To Macau,3,,,,,
,Thần kiếm - Sword Master 2016,1,,,,,
,The Family - Gia đình đạo tặc 2013,1,,,,,
PHIM 2,The Last Witch Hunter - Chiến binh săn phù thủy,1,,,,,
,The Nice Guys - Những Chàng Trai Ngoan 2016,1,,,,,
,The White Storm - Cuộc chiến á phiện 2013 2019,1,,,,,
,Thiện nữ u hồn - A Chinese Ghost Story,1,,,,,
,Tiền đen - Money 2019,1,,,,,
,Tiên hắc ám - Maleficent 2014 2019,2,,,,,
,Tiếng gọi nơi hoang dã - The call of the wild 2020,1,,,,,
PHIM 2,Tình yêu đích thực - Love Actually 2003,1,,,,,
,Trùm hương cảng - Chasing the Dragon 2017 2019,2,,,,,
,"Trùm, cớm và ác quỷ The Gangster the Cop the Devil 2019",1,,,,,
,Truy Sát - Wanted,1,,,,,
,Tuyên ngôn độc thân - How to Be Single 2016,1,,,,,
,Tuyệt đỉnh kungfu - Kung Fu Hustle 2004,1,,,,,
,Từ khi anh đến - After 2019,1,,,,,
,Từ khi anh đến 2: Từ Khi Chúng Ta Tan Vỡ - After We Collided 2020,1,,,,,
,Từ khi anh đến 3: Từ Khi Chúng Ta Sa Ngã - After We Fell 2021,1,,,,,
,Van Helsing - Khắc tinh của ma cà rồng 2004,1,,,,,
,Venom 2018 2021,2,,,4K Bluray,,
PHIM 2,Vô gian đạo - Infernal Affairs 2002,1,,,,,
,Vợ chồng dân chơi - Mr Mrs Player 2013,1,,,,,
,Vùng đất câm lặng - A Quiet Place 2018 2020,2,,,,,
,Vùng đất quỷ dữ - Resident Evil 2002 2004 2007 2010 2012 2016,6,,,,,
,Wet Woman in the Wind 2016,1,,,,,
,Xác chết ma ám - The Possession of Hannah Grace 2018,1,,,,,
,Xác ướp Ai Cập - The Mummy 1999 2001 2008 2017,4,,,,,
https://drive google com/drive/folders/1P825zAIAWsL1hL2nU9MryKCcFORg-Zf1?usp=sharing,Yêu lầm bạn thân - Friends with Benefits,1,,,,,
PHIM 2,Zombieland - Vùng đất thây ma,2,,,,,
PHIM 3,A Simple Favor 2018 - Lời thỉnh cầu bí ẩn,1,,,,,
https://drive google com/drive/folders/1IARyrW_gzySUXHYSvH4P36mfUHNMENsY?usp=sharing,Thợ săn ma cà rồng Abraham Lincoln - Abraham Lincoln Vampire Hunter 2012,1,,,,,
193,Alpha - Người thủ lĩnh 2018,1,,,,,
,As the Gods Will 2014 - Trò chơi sinh tồn,1,,,,,
,Baba Yaga: Terror Of The Dark Forest 2020,1,,,,,
PHIM 3,Bác Sĩ Dolittle: Chuyến Phiêu Lưu Thần Thoại 2020,1,,,,,
,Bạch Xà 2: Thanh Xà Kiếp Khởi - White Snake 2,1,,,,,
,Bạch xà: Duyên khởi - White Snake 2019,1,,,,,
,Bệnh dại - Feral 2018,1,,"chưa có sub, bạn nào làm hộ thì hay quá",,,
,Bí mật của các quý ông - The Loft 2014,1,,,,,
PHIM 3,Big Brother - Đại sư huynh 2018,1,,,,,
,Big Daddy 1999 - Người cha vĩ đại,1,,,,,
,Birds of Prey: Cuộc Lột Xác Huy Hoàng Của Harley Quinn 2019,1,,,,,
,Boruto movie,1,,,,,
,Bộ ba quái nhân - Glass 2019,1,,,,,
,Bố già học việc - The Intern 2015,1,,,,,
PHIM 3,Búp bê sát nhân - Child 's 1988 1990 1991,3,,,,,
,Cá mập siêu bạo chúa - The Meg 2018,1,,,,,
,Call boy,1,,,,,
,Cảnh sát thú - The Animal 2001,1,,,,,
,Cats Dogs - Đại chiến chó mèo 2001 2010 2020,3,,2020 chưa có sub việt,,,
,Căn phòng 1408,1,,,,,
PHIM 3,Câu chuyện hôn nhân 2019 - Marriage Story 2019,1,,,,,
,Chạy cùng quỷ dữ - Running With The Devil 2019,1,,,,,
,Chế ngự cuồng nộ - Anger Management 2003,1,,,,,
,Chú bé tỷ phú - Richie Rich 1994,1,,,,,
,Chúc chàng may mắn - Good Luck Chuck 2007,1,,,,,
,Chuyến bay tình yêu - Airplane 1980,1,,,,,
,Chuyện nàng lọ lem: điều ước đêm giáng sinh - A Cinderella Story Christmas Wish 2019,1,,,,,
,Con tàu ma - Ghost Ship 2002,1,,,,,
PHIM 3,Cỗ máy tử thần - Mortal Engines 2018,1,,,,,
,Cuộc Chiến Chống Zombie của Hướng Đạo Sinh,1,,,,,
,Cuộc chiến của Rồng - D war 2007,1,,,,,
,Dagon 2001,1,,,,,
,Daybreakers - Tử chiến ma cà rồng 2009,1,,,,,
PHIM 3,Dậy thì muộn - The Late Bloomer 2016,1,,,,,
,Dị năng: trong mỗi chúng ta - Freaks Youre One of Us 2020,1,,,,,
,Diệp Vấn ngoại truyện - Master Z Ip Man Legacy 2018,1,,,,,
,Doremon Movie (tổng hợp),3,,,,,
,Đại chiến gã khổng lồ  - I Kill Giants 2017,1,,,,,
,Đại chiến thành Ansi - The Great Battle 2018,1,,,,,
PHIM 3,Đại dịch cúm - The Flu 2020,1,,,,,
,Đại Thảm Họa Núi Baekdu - Ashfall 2019,1,,,,,
,Đại thánh trở về,1,,,,,
,Đấu trường ảo - Ready player one 2018,1,,,,,
,Điểm quyết định - Match point 2005,1,,,,,
,Điệp viên không hoàn hảo - Central Intelligence 2016,1,,,,,
,Điệp viên thời gian - Spy time 2015,1,,,,,
,Điệp viên tí hon - My Spy 2019,1,,,,,
PHIM 3,Điệp vụ tuyệt mật - Switch 2013,1,,,,,
,Đổi vai - The Change-Up 2011,1,"Hài hước, Tình cảm",,,,
,Đồn cảnh sát ma - R I P D 2013,1,"Hành động, Kịch tính",,,,
,"Đừng nói dối, bố ơi! 1997",1,,,,,
PHIM 3,Eo biển xanh - The Blue Lagoon,1,,,,,
,Escape Room - Căn phòng tử thần 2019 2021,2,"Hành động, Kịch tính",,,,
,Escape Plan - Kế khoạch đào tẩu,3,"Hành động, Kịch tính",,,,
,Giao lộ sinh tử - Odd Thomas 2013,1,,,,,
,God of War - Đăng khấu phong vân 2017,1,,,,,
,Gretel and Hansel - Thợ săn phù thủy,2,,,,,
,Hào tình - 3D Naked Ambition 2014,1,18+,,,,
,Hidden Man - Tà không thắng chính 2018,1,,,,,
PHIM 3,Họa Bì - Painted Skin 2008 2012,2,,,,,
,Họng Súng Vô Hình - Naked Gun,3,,,,,
,Hồn ma báo oán bản mỹ - Shutter 2008,1,,,,,
,Hồn ma theo đuổi Shutter 2004,1,,,,,
,"I, Robot 2004",1,"Hành động, Viễn Tưởng",,,,
,Iboy - Anh chàng siêng năng 2017,1,,,,,
,Ip Man - Diệp Vấn 2008 2010 2015 2019,4,,,,,
,Kẻ săn mồi biển sâu 2020 - Underwater 2020,1,,,,,
PHIM 3,Kẻ săn tình - Priceless 2006,1,,,,,
,Kẻ Vô hình - The Invisible Man 2020,1,,,,,
,Kế hoạch ngăn cản - Blockers 2018,1,,,,,
,Khe nứt San Andreas 2015,1,,,,,
,Khu vực 9 - District 9 2009,1,,,,,
,Knocked Up - Tình một đêm / This is 40 - Tuổi 40,2,,,,,
,KungFuLeague - Huyền thoại Kungfu 2018,1,,,,,
,Love and Other Drugs - Tình yêu và tình dược 2010,1,,,,,
PHIM 3,Lover of the Last Empress - Đoạn tình từ hy 1995,1,,,,,
,Lời nguyền - The Grudge 2020,1,,,,,
,Luật quỷ - The Lodgers 2018,1,,,,,
,Lưỡi cưa - Saw 2004 2005 2006 2007 2008 2009 2010 2017,8,,,,,
,Lưới tình London - London Fields 2018,1,,,,,
,Ma trận - The Matrix 1999 2003 2003 2021 + Animatrix 2003,5,"Hành động, Viễn tưởng",,,,
,Đạo sĩ hạ sơn - Monk Comes Down The Mountain 2015,1,"Võ thuật, Hành động",,,,
,Monstrum 2018 - Săn lùng quái thú,1,,,,,
PHIM 3,Mối tình đẹp 1992,,,gắn cờ,,,
,Một thời học sinh - Once Upon A Time In High School 2004,1,,,,,
,Natra - Ma đồng giáng thế 2019,1,,,,,
,Nghịch chiến - The Viral Factor 2012,1,,,,,
,Ngòi nổ - Flash point,1,,,,,
,Nguyệt quang bảo hạp - Just Another Pandoras Box 2010,1,,,,,
,Người băng - The Iceman,2,,,,,
,Người đàn ông của năm - Man of the Year 2006,1,,,,,
PHIM 3,Người đẹp trả thù  Even Lambs Have Teeth 2015,1,,,,,
,Người mẹ Robot - I am Mother 2019,1,,,,,
,Người nhân bản - Replicas 2018,1,,,,,
,Người vô hình - Hollow Man 2000,1,,,,,
,Nhật ký công chúa - The Princess Diaries 2001,1,,,,,
,Nhím Sonic - Sonic: The Hedgehog 2020,1,,,,,
,Những tên cướp thế kỷ - The Oceans,3,,,,,
,Nữ hoàng băng giá - Frozen 2013 2019,2,,,,,
PHIM 3,Ong bak - Truy tìm tượng phật,3,,,,,
,Ông nội ăn chơi - Dirty Grandpa 2016,1,,,,,
